Id,Title,Magazines publications,Book publications,Post-conference publications,Equipment,Equipment cost,Equipment count,Manager,Managers title,Unit,Voivodeship
2017/27/N/HS4/02773,"Przestrzenne aspekty i efekty projektów współfinansowanych z funduszów Unii Europejskiej w latach 2007-2013, przeznaczonych na rozwój turystyki przekraczającej granice morskie na obszarze regionu bałtyckiego",0,0,0,,0,0,Denis Cerić,mgr,"Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego Polskiej Akademii Nauk, Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego Polskiej Akademii Nauk",mazowieckie
2017/27/N/HS5/00423,Sondergericht Kattowitz - Sąd Specjalny w Katowicach 1939-1945,0,0,0,,0,0,Konrad Graczyk,mgr,"Wydział Prawa i Administracji, Wydział Prawa i Administracji",śląskie
2017/27/N/HS6/02057,Funkcjonowanie poznawcze pacjentów chorych na szpiczaka mnogiego i jego uwarunkowania czynnikami biologicznymi oraz zmiennymi psychospołecznymi,0,0,0,,0,0,Magdalena Bury-Kamińska,mgr,"Wydział Pedagogiki i Psychologii, Wydział Pedagogiki i Psychologii",lubelskie
2017/27/N/HS6/02079,Badanie psychologicznych i neuronalnych mechanizmów nałogowych zachowań seksualnych wśród kobiet.,0,0,0,,0,0,Ewelina Kowalewska,mgr,"SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie, Wydział Psychologii, Wydział Psychologii",mazowieckie
2017/27/N/HS6/02666,Organizacja neuronalnej sieci językowej u dzieci późno mówiących w zależności od występowania dysleksji rozwojowej,0,0,0,,0,0,Agnieszka Kacprzak,mgr,Instytut Biologii Doświadczalnej im. M. Nenckiego Polskiej Akademii Nauk,mazowieckie
2017/27/N/HS6/02669,Selektywność zadaniowa czy wielopotencjalność? Badania plastyczności kory wzrokowej osób niewidomych z wykorzystaniem metod TMS i fMRI,0,0,0,,0,0,Jacek Matuszewski,mgr,Instytut Biologii Doświadczalnej im. M. Nenckiego Polskiej Akademii Nauk,mazowieckie
2018/29/N/HS1/02127,W stronę postliberalizmu. Filozofia społeczna i polityczna Johna Milbanka,0,0,0,,0,0,Jakub Gużyński,mgr,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Humanistyczny, Wydział Humanistyczny",kujawsko-pomorskie
2018/29/N/HS1/02863,W poszukiwaniu źródeł intuicji filozoficznych - nowe metody w filozofii eksperymentalnej,0,0,0,,0,0,Bartosz Maćkiewicz,mgr,"Wydział Filozofii i Socjologii, Wydział Filozofii i Socjologii",mazowieckie
2018/29/N/HS2/00791,Estetyka jako polityka. Twórczość Brunona Jasieńskiego,0,0,0,,0,0,Kasper Pfeifer,mgr,"Wydział Filologiczny, Wydział Filologiczny",śląskie
2018/29/N/HS2/01377,Analiza porównawcza angielskich i polskich syntetycznych złożeń przymiotnikowych w ujęciu Morfologii Rozproszonej.,0,0,0,,0,0,Sebastian Wasak,mgr,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Nauk Humanistycznych, Wydział Nauk Humanistycznych",lubelskie
