,type,edition,subpanel_code,budget_numeric,duration_numeric,coinvestigators_numeric
395,PRELUDIUM,1,ST1,64000,24,2
396,PRELUDIUM,1,ST1,31850,12,2
397,PRELUDIUM,1,ST1,77800,24,2
398,PRELUDIUM,1,ST1,98690,32,2
399,PRELUDIUM,1,ST1,80000,24,2
400,PRELUDIUM,1,ST1,43680,24,2
401,PRELUDIUM,1,ST2,77350,24,2
402,PRELUDIUM,1,ST2,44747,12,2
403,PRELUDIUM,1,ST2,47200,26,2
404,PRELUDIUM,1,ST2,24600,12,2
405,PRELUDIUM,1,ST2,59150,36,2
406,PRELUDIUM,1,ST2,59280,36,2
407,PRELUDIUM,1,ST2,42068,14,1
408,PRELUDIUM,1,ST2,126200,24,4
409,PRELUDIUM,1,ST2,59559,36,2
410,PRELUDIUM,1,ST2,69310,24,2
411,PRELUDIUM,1,ST2,49400,13,2
412,PRELUDIUM,1,ST2,49400,18,2
413,PRELUDIUM,1,ST2,49400,20,2
414,PRELUDIUM,1,ST2,91390,24,2
415,PRELUDIUM,1,ST2,38800,16,2
416,PRELUDIUM,1,ST2,85000,24,3
417,PRELUDIUM,1,ST2,54620,24,1
418,PRELUDIUM,1,ST3,78250,36,2
419,PRELUDIUM,1,ST3,49130,24,2
420,PRELUDIUM,1,ST3,94900,24,2
421,PRELUDIUM,1,ST3,65000,24,2
422,PRELUDIUM,1,ST3,229100,36,2
423,PRELUDIUM,1,ST3,94540,21,2
424,PRELUDIUM,1,ST3,89247,36,2
425,PRELUDIUM,1,ST3,51350,18,3
426,PRELUDIUM,1,ST3,230952,36,3
427,PRELUDIUM,1,ST3,228800,30,4
428,PRELUDIUM,1,ST3,83450,24,2
429,PRELUDIUM,1,ST3,32750,24,2
430,PRELUDIUM,1,ST3,158600,24,5
431,PRELUDIUM,1,ST4,150000,36,2
432,PRELUDIUM,1,ST4,67800,18,2
433,PRELUDIUM,1,ST4,110000,24,3
434,PRELUDIUM,1,ST4,124800,36,2
435,PRELUDIUM,1,ST4,74100,24,2
436,PRELUDIUM,1,ST4,60000,18,2
437,PRELUDIUM,1,ST4,58750,24,2
438,PRELUDIUM,1,ST4,96200,36,2
439,PRELUDIUM,1,ST4,86300,24,2
440,PRELUDIUM,1,ST4,172150,36,2
441,PRELUDIUM,1,ST4,149750,24,2
442,PRELUDIUM,1,ST4,146800,36,2
443,PRELUDIUM,1,ST4,45800,18,2
444,PRELUDIUM,1,ST4,40150,12,2
445,PRELUDIUM,1,ST4,63050,18,2
446,PRELUDIUM,1,ST4,70655,18,2
447,PRELUDIUM,1,ST4,44720,12,2
448,PRELUDIUM,1,ST4,241800,24,1
449,PRELUDIUM,1,ST4,123400,24,5
450,PRELUDIUM,1,ST4,150000,18,2
451,PRELUDIUM,1,ST4,69000,24,2
452,PRELUDIUM,1,ST4,67500,18,2
453,PRELUDIUM,1,ST4,130797,36,4
454,PRELUDIUM,1,ST4,134500,24,3
455,PRELUDIUM,1,ST5,109000,24,4
456,PRELUDIUM,1,ST5,100600,24,2
457,PRELUDIUM,1,ST5,76100,12,2
458,PRELUDIUM,1,ST5,133625,36,4
459,PRELUDIUM,1,ST5,257800,30,2
460,PRELUDIUM,1,ST5,70000,24,2
461,PRELUDIUM,1,ST5,75680,22,2
462,PRELUDIUM,1,ST5,103500,30,2
463,PRELUDIUM,1,ST5,69100,18,2
464,PRELUDIUM,1,ST5,76980,13,1
465,PRELUDIUM,1,ST5,84600,24,1
466,PRELUDIUM,1,ST5,148192,36,2
467,PRELUDIUM,1,ST5,77900,18,3
468,PRELUDIUM,1,ST5,152090,36,2
469,PRELUDIUM,1,ST5,141700,36,2
470,PRELUDIUM,1,ST5,114400,18,3
471,PRELUDIUM,1,ST5,143000,30,4
472,PRELUDIUM,1,ST5,95680,24,2
473,PRELUDIUM,1,ST5,50000,24,2
474,PRELUDIUM,1,ST5,81250,30,2
475,PRELUDIUM,1,ST5,50000,24,4
476,PRELUDIUM,1,ST5,58500,12,2
477,PRELUDIUM,1,ST5,68250,18,2
478,PRELUDIUM,1,ST5,72000,34,3
479,PRELUDIUM,1,ST5,69700,24,3
480,PRELUDIUM,1,ST5,76700,25,2
481,PRELUDIUM,1,ST5,68900,24,3
482,PRELUDIUM,1,ST5,273000,36,7
483,PRELUDIUM,1,ST5,85000,24,2
