Id,Descriptors
2017/27/N/HS2/02476,HS2_14
2017/27/N/HS2/02476,HS3_12
2017/27/N/HS3/00013,HS3_11
2017/27/N/HS3/00013,HS3_5
2017/27/N/HS3/00013,HS3_2
2017/27/N/HS3/00740,HS3_1
2017/27/N/HS3/00740,HS3_5
2017/27/N/HS3/00740,HS2_1
2017/27/N/HS3/01373,HS3_8
2017/27/N/HS3/02926,HS3_1
2017/27/N/HS4/00751,HS4_6
2017/27/N/HS4/00751,HS4_7
2017/27/N/HS4/02050,HS4_1
2017/27/N/HS4/02050,HS4_4
2017/27/N/HS4/02050,HS4_12
2017/27/N/HS5/00745,HS5_9
2017/27/N/HS5/01149,HS5_11
2017/27/N/HS5/01149,HS5_3
2017/27/N/HS5/01149,HS5_5
2017/27/N/HS6/00501,HS6_9
2017/27/N/HS6/00501,HS6_13
2018/29/N/HS2/00340,HS2_1
2018/29/N/HS3/00528,HS3_11
2018/29/N/HS3/00528,HS6_14
2018/29/N/HS3/00528,HS6_13
2018/29/N/HS3/01001,HS3_12
2018/29/N/HS3/01001,HS3_8
2018/29/N/HS3/01001,HS4_14
2018/29/N/HS3/01502,HS3_5
2018/29/N/HS3/01502,HS3_8
2018/29/N/HS3/01502,HS3_9
2018/29/N/HS4/00890,HS4_2
2018/29/N/HS4/00890,HS4_3
2018/29/N/HS4/00890,HS4_16
2018/29/N/HS4/01225,HS4_1
2018/29/N/HS4/01225,HS4_6
2018/29/N/HS4/01394,HS4_1
2018/29/N/HS4/01394,HS4_5
2018/29/N/HS4/01394,ST10_16
2018/29/N/HS4/01799,HS4_1
2018/29/N/HS4/01799,HS4_5
2018/29/N/HS5/00648,HS5_1
2018/29/N/HS5/00648,HS5_2
2018/29/N/HS5/00725,HS5_4
2018/29/N/HS5/00725,HS5_2
2018/29/N/HS5/00725,HS5_1
2018/29/N/HS5/00905,HS5_1
2018/29/N/HS5/02977,HS5_5
2018/29/N/HS6/01862,HS6_16
2018/29/N/HS6/01862,HS2_14
2018/29/N/HS6/01862,HS1_10
2018/29/N/HS6/02501,HS6_3
2018/29/N/HS6/02501,HS6_5
2018/31/N/HS1/02134,HS1_5
2018/31/N/HS1/02134,HS5_6
2018/31/N/HS1/02134,HS5_9
2018/31/N/HS2/01187,HS2_1
2018/31/N/HS2/01187,HS2_2
2018/31/N/HS2/01187,HS2_8
2018/31/N/HS2/02651,HS2_2
2018/31/N/HS3/00497,HS3_11
2018/31/N/HS3/03319,HS3_8
2018/31/N/HS4/00178,HS4_14
2018/31/N/HS6/01109,HS6_4
2018/31/N/HS6/01109,HS6_3
2018/31/N/HS6/01109,NZ4_10
2018/31/N/HS6/01201,HS6_1
2018/31/N/HS6/01201,HS6_4
2018/31/N/HS6/03551,HS6_5
2018/31/N/HS6/03551,HS6_3
2018/31/N/HS6/03551,NZ4_10
2018/31/N/HS6/03976,HS6_11
2011/01/N/HS6/04281,HS6_1
2011/01/N/HS6/04281,HS6_5
2011/01/N/HS6/04281,NZ4_10
2011/01/N/HS5/01269,HS5_7
2011/01/N/HS6/00673,HS6_5
2011/01/N/HS5/02433,HS5_4
2011/01/N/HS3/06086,HS3_8
2011/01/N/HS3/06086,HS3_5
2011/01/N/HS3/06086,HS3_2
2011/01/N/HS5/00780,HS5_10
2011/01/N/HS5/00780,HS5_2
2011/01/N/HS3/06034,HS3_1
